,MgO,Al2O3,SiO2,Tliq_true,Tliq_pred
0,0.0,1.0,0.0,2327.0108,2281.2699999999963
1,0.05,0.95,0.0,2306.3483,2151.1659985351525
2,0.1,0.9,0.0,2281.797,2252.671999511715
3,0.15,0.85,0.0,2252.2397,2245.6699999999964
4,0.2,0.8,0.0,2216.1555,2227.8899999999962
5,0.25,0.75,0.0,2171.4728,2176.464999999996
6,0.3,0.7,0.0,2115.3729,2163.409999999996
7,0.35,0.65,0.0,2044.0333,2127.3199999999965
8,0.4,0.6,0.0,1952.3148,2115.3449999999966
9,0.45,0.55,0.0,1833.4337999999998,2105.2949999999964
10,0.5,0.5,0.0,1678.7565,2054.9449999999965
11,0.55,0.45,0.0,1718.5151999999998,1977.1349999999966
12,0.6,0.4,0.0,1984.6498000000001,1872.6149999999966
13,0.65,0.35,0.0,2198.6893999999998,1847.534999999997
14,0.7,0.3,0.0,2370.3056,1856.8649999999968
15,0.75,0.25,0.0,2511.8476,1861.0059997558562
16,0.8,0.2,0.0,2635.5367,1864.800999755856
17,0.85,0.15,0.0,2752.2627,2052.590999755856
18,0.9,0.1,0.0,2869.6433,1927.6799999999964
19,0.95,0.05,0.0,2987.6978,1964.5299999999966
20,1.0,0.0,0.0,3097.9097,2544.079999999996
21,0.0,0.95,0.05,2307.6497,2167.9199999999964
22,0.05,0.9,0.05,2290.7606,2034.178999023434
23,0.1,0.85,0.05,2267.9809,2023.5079992675746
24,0.15,0.8,0.05,2238.3193,2014.6579992675747
25,0.2,0.75,0.05,2200.2204,2019.7679992675746
26,0.25,0.7,0.05,2151.3842,1996.8379992675746
27,0.3,0.65,0.05,2088.5614,1881.8999987792936
28,0.35,0.6,0.05,2007.3791,1857.1499987792936
29,0.4,0.55,0.05,1902.4315000000001,1839.5799987792936
30,0.45,0.5,0.05,1855.839,1841.4939990234343
31,0.5,0.45,0.05,1833.9722000000002,1886.5019995117154
32,0.55,0.4,0.05,1818.2842,1857.7519995117154
33,0.65,0.3,0.05,2248.3529,1833.1919995117155
34,0.7,0.25,0.05,2400.1419,1815.7609997558561
35,0.75,0.2,0.05,2525.4459,1810.3509997558563
36,0.8,0.15,0.05,2642.7051,1820.4540002441374
37,0.9,0.05,0.05,2924.7964,1810.2799999999968
38,0.95,0.0,0.05,3022.7735000000002,1938.2899999999966
39,0.0,0.9,0.1,2287.3414,2242.4799999999964
40,0.05,0.85,0.1,2273.5516,2043.4779992675747
41,0.1,0.8,0.1,2252.746,2063.580999755856
42,0.15,0.75,0.1,2223.5847,2038.7909997558559
43,0.2,0.7,0.1,2184.2025,2023.8009997558559
44,0.25,0.65,0.1,2131.957,2028.805999755856
45,0.3,0.6,0.1,2063.242,2037.7159997558558
46,0.35,0.55,0.1,1973.6291999999999,2005.0209997558559
47,0.4,0.5,0.1,1880.1614,1965.710999755856
48,0.45,0.45,0.1,1866.8202999999999,1949.450999755856
49,0.5,0.4,0.1,1836.1659,1984.6799999999964
50,0.55,0.35,0.1,1890.9029,1974.7699999999966
51,0.6,0.3,0.1,2107.0583,1915.9999999999966
52,0.65,0.25,0.1,2283.2439,1835.8149999999969
53,0.7,0.2,0.1,2418.0128,1798.9249999999968
54,0.75,0.15,0.1,2538.216,1877.2099999999964
55,0.8,0.1,0.1,2674.9762,1817.0359997558562
56,0.85,0.05,0.1,2847.2141,1840.5699999999968
57,0.9,0.0,0.1,2909.455,2069.5799999999963
58,0.0,0.85,0.15,2265.4542,2239.819999999996
59,0.05,0.8,0.15,2254.1185,2029.7979992675746
60,0.1,0.75,0.15,2235.2233,2198.2949999999964
61,0.15,0.7,0.15,2206.9405,2183.8149999999964
62,0.2,0.65,0.15,2166.932,2171.3349999999964
63,0.25,0.6,0.15,2112.1495,2158.964999999996
64,0.3,0.55,0.15,2038.859,2077.8499999999967
65,0.35,0.5,0.15,1943.5605,2048.8299999999963
66,0.4,0.45,0.15,1883.7584000000002,2020.7499999999966
67,0.45,0.4,0.15,1865.6120999999998,2000.1399999999965
68,0.5,0.35,0.15,1838.4679,1989.6699999999964
69,0.55,0.3,0.15,1943.373,1953.7099999999964
70,0.6,0.25,0.15,2143.7787,1878.7699999999966
71,0.65,0.2,0.15,2302.2849,1796.1549999999968
72,0.7,0.15,0.15,2430.3217,1879.1499999999965
73,0.75,0.1,0.15,2570.8219,1871.7299999999968
74,0.8,0.05,0.15,2742.5894000000003,1843.2999999999968
75,0.85,0.0,0.15,2768.6031000000003,2033.3999999999965
76,0.0,0.8,0.2,2241.0816,2229.6199999999963
77,0.05,0.75,0.2,2231.4681,1916.713000488278
78,0.1,0.7,0.2,2214.0928,2183.9349999999963
79,0.15,0.65,0.2,2186.6844,2157.0149999999962
80,0.2,0.6,0.2,2146.4157,2145.9399999999964
81,0.25,0.55,0.2,2089.8941,2076.1799999999967
82,0.3,0.5,0.2,2013.717,2027.6899999999964
83,0.35,0.45,0.2,1916.7132000000001,2010.9499999999964
84,0.4,0.4,0.2,1882.9542999999999,2002.9799999999966
85,0.45,0.35,0.2,1862.8305,1995.7199999999966
86,0.55,0.25,0.2,1948.8168999999998,1892.5399999999966
87,0.6,0.2,0.2,2158.4411,1829.4399999999969
88,0.65,0.15,0.2,2307.6538,1921.7849999999964
89,0.75,0.05,0.2,2608.1543,1861.9699999999968
90,0.8,0.0,0.2,2604.4427,2067.7349999999965
91,0.0,0.75,0.25,2213.1938999999998,2174.4549999999963
92,0.05,0.7,0.25,2204.3901,1898.493000488278
93,0.1,0.65,0.25,2187.744,2144.255999755856
94,0.15,0.6,0.25,2160.6612999999998,2097.005999755856
95,0.2,0.55,0.25,2119.9432,2063.5049999999965
96,0.25,0.5,0.25,2062.1001,2024.9599999999964
97,0.3,0.45,0.25,1984.7799,2003.0399999999966
98,0.35,0.4,0.25,1890.4827999999998,2000.5799999999965
99,0.4,0.35,0.25,1879.0344,1996.9699999999966
100,0.45,0.3,0.25,1859.7768,1930.8699999999965
101,0.5,0.25,0.25,1827.4848000000002,1891.8899999999965
102,0.55,0.2,0.25,1926.2991000000002,1826.2599999999968
103,0.6,0.15,0.25,2145.6842,1886.3399999999965
104,0.65,0.1,0.25,2302.6208,1863.0799999999967
105,0.7,0.05,0.25,2440.0609,1865.169999999997
106,0.75,0.0,0.25,2409.3179,2102.7099999999964
107,0.0,0.7,0.3,2180.8801,2185.024999999996
108,0.05,0.65,0.3,2171.7701,1862.0549999999969
109,0.1,0.6,0.3,2154.6456,2078.780999755856
110,0.15,0.55,0.3,2126.7033,2048.4909997558557
111,0.2,0.5,0.3,2084.5759,2019.5099999999966
112,0.25,0.45,0.3,2025.1181000000001,1983.4599999999964
113,0.3,0.4,0.3,1947.9135,1994.5199999999966
114,0.4,0.3,0.3,1868.9135,1906.4899999999966
115,0.45,0.25,0.3,1851.4962,1873.9599999999964
116,0.5,0.2,0.3,1823.7784000000001,1848.0599999999968
117,0.55,0.15,0.3,1852.5670999999998,1880.6299999999965
118,0.65,0.05,0.3,2211.2356,1858.7699999999968
119,0.7,0.0,0.3,2143.6026,2119.319999999996
120,0.0,0.65,0.35,2143.6734,2176.234999999996
121,0.05,0.6,0.35,2133.0328,1856.573000488278
122,0.1,0.55,0.35,2113.9332,2010.4629992675746
123,0.15,0.5,0.35,2083.4174,2013.6459997558559
124,0.2,0.45,0.35,2038.1680999999999,1978.9899999999966
125,0.25,0.4,0.35,1975.9393999999998,1979.4899999999966
126,0.35,0.3,0.35,1852.1967,1896.3599999999965
127,0.4,0.25,0.35,1845.6232,1867.2499999999968
128,0.45,0.2,0.35,1825.4569999999999,1842.5999999999967
129,0.5,0.15,0.35,1793.2592,1866.3099999999965
130,0.65,0.0,0.35,2155.353,1942.4499999999964
131,0.0,0.6,0.4,2101.9126,2153.699999999996
132,0.05,0.55,0.4,2088.6422,1828.0160021972624
133,0.1,0.5,0.4,2066.1038,1979.845999755856
134,0.15,0.45,0.4,2031.176,1988.9459997558558
135,0.2,0.4,0.4,1980.7752999999998,1972.0899999999965
136,0.25,0.35,0.4,1914.0306999999998,1916.7899999999966
137,0.3,0.3,0.4,1835.7294000000002,1881.1599999999964
138,0.35,0.25,0.4,1817.0340999999999,1858.0199999999968
139,0.4,0.2,0.4,1799.6145000000001,1830.2099999999969
140,0.45,0.15,0.4,1762.5818,1834.169999999997
141,0.5,0.1,0.4,1799.8246,1770.6199999999967
142,0.55,0.05,0.4,1928.8445000000002,1773.9499999999969
143,0.6,0.0,0.4,2086.3274,1893.1899999999964
144,0.0,0.55,0.45,2057.0357,2194.1849999999963
145,0.05,0.5,0.45,2040.4741,1827.2240026855436
146,0.1,0.45,0.45,2013.4832000000001,1954.1209997558558
147,0.15,0.4,0.45,1972.7105999999999,1987.545999755856
148,0.2,0.35,0.45,1915.4042,1907.5199999999966
149,0.25,0.3,0.45,1842.2228,1853.1399999999967
150,0.3,0.25,0.45,1779.9674,1842.8599999999967
151,0.35,0.2,0.45,1764.6461,1766.2899999999968
152,0.4,0.15,0.45,1724.7806999999998,1772.9799999999968
153,0.45,0.1,0.45,1716.9657000000002,1736.5199999999968
154,0.5,0.05,0.45,1835.1181000000001,1751.5699999999968
155,0.55,0.0,0.45,1974.4443999999999,1867.5699999999968
156,0.0,0.5,0.5,2011.6477,2184.549999999996
157,0.05,0.45,0.5,1991.7767,1817.5140026855436
158,0.1,0.4,0.5,1959.9281999999998,1947.2709997558559
159,0.15,0.35,0.5,1912.2748000000001,1911.8099999999965
160,0.2,0.3,0.5,1846.1994,1867.659999999997
161,0.25,0.25,0.5,1763.6426000000001,1827.6899999999969
162,0.3,0.2,0.5,1731.4241000000002,1754.7019995117155
163,0.35,0.15,0.5,1698.2835,1688.4599999999969
164,0.4,0.1,0.5,1652.4341,1707.6199999999967
165,0.45,0.05,0.5,1739.152,1739.5299999999968
166,0.5,0.0,0.5,1838.7667999999999,1854.3599999999967
167,0.0,0.45,0.55,1969.2022000000002,2139.1899999999964
168,0.05,0.4,0.55,1946.4641000000001,1819.1640026855437
169,0.1,0.35,0.55,1909.3519999999999,1878.8849999999966
170,0.15,0.3,0.55,1852.7644,1875.8099999999965
171,0.2,0.25,0.55,1773.4827,1828.8799999999967
172,0.25,0.2,0.55,1738.1754,1739.155999755856
173,0.3,0.15,0.55,1715.3518,1673.819999999997
174,0.4,0.05,0.55,1690.4576000000002,1712.1099999999967
175,0.45,0.0,0.55,1850.4234999999999,1809.8199999999968
176,0.0,0.4,0.6,1933.2347,2139.6649999999963
177,0.1,0.3,0.6,1863.2107999999998,1839.9549999999967
178,0.15,0.25,0.6,1791.4218,1802.9599999999969
179,0.2,0.2,0.6,1738.1821,1726.7089990234342
180,0.25,0.15,0.6,1722.7974,1694.6045007324187
181,0.4,0.0,0.6,1970.3656999999998,1955.8099999999965
182,0.0,0.35,0.65,1906.2714999999998,2102.9649999999965
183,0.05,0.3,0.65,1876.2676999999999,1772.8080029296843
184,0.1,0.25,0.65,1817.4065999999998,1792.4899999999968
185,0.15,0.2,0.65,1726.6077999999998,1723.1040002441375
186,0.2,0.15,0.65,1723.3379,1715.6240002441375
187,0.25,0.1,0.65,1730.4328,1704.159999999997
188,0.3,0.05,0.65,1861.0882000000001,1697.2309997558564
189,0.35,0.0,0.65,2073.9058,1935.6499999999965
190,0.0,0.3,0.7,1888.692,2082.2799999999966
191,0.05,0.25,0.7,1848.4108,1769.2430017089812
192,0.1,0.2,0.7,1758.2638000000002,1726.437999267575
193,0.15,0.15,0.7,1721.3121,1725.409999999997
194,0.25,0.05,0.7,1919.5216,1749.7024981689422
195,0.3,0.0,0.7,2141.3321,1875.9699999999968
196,0.0,0.25,0.75,1877.8278999999998,2064.9999999999964
197,0.05,0.2,0.75,1813.9000999999998,1768.4910021972623
198,0.1,0.15,0.75,1758.895,1731.8649999999968
199,0.15,0.1,0.75,1831.2523999999999,1718.667498168942
200,0.2,0.05,0.75,1967.2766000000001,1765.5499975585906
201,0.25,0.0,0.75,2184.1417,1897.7029992675746
202,0.0,0.2,0.8,1867.5589,2019.5899999999965
203,0.05,0.15,0.8,1770.1531,1673.633999633786
204,0.1,0.1,0.8,1844.9633,1744.8049999999969
205,0.15,0.05,0.8,1991.5827,1790.4174993896452
206,0.2,0.0,0.8,2207.889,1916.7549999999965
207,0.0,0.15,0.85,1849.0445,2004.0499999999965
208,0.1,0.05,0.85,1981.6511,1843.4449999999968
209,0.15,0.0,0.85,2213.7224,1910.6099999999965
210,0.0,0.1,0.9,1813.9656,2010.1899999999964
211,0.05,0.05,0.9,1916.1019000000001,1837.2714996337859
212,0.1,0.0,0.9,2196.8695,1932.5499999999965
213,0.0,0.05,0.95,1857.5971,1893.9749999999965
214,0.05,0.0,0.95,2134.3724,1935.0499999999965
215,0.0,0.0,1.0,1995.9859000000001,1801.1099999999967
