,Na2O,CaO,SiO2,Tliq_true,Tliq_pred
0,0.0,1.0,0.0,2845.1624,2657.9199999999964
1,0.05,0.95,0.0,2764.8428,1727.3899999999967
2,0.1,0.9,0.0,2688.3079000000002,1774.8399999999967
3,0.15,0.85,0.0,2614.9612,1755.2599999999968
4,0.2,0.8,0.0,2544.2743,1869.7199999999968
5,0.25,0.75,0.0,2475.7690000000002,1915.8199999999965
6,0.3,0.7,0.0,2409.0007,1943.7499999999966
7,0.35,0.65,0.0,2343.5439,1956.0799999999965
8,0.4,0.6,0.0,2278.9775,2270.5599999999963
9,0.45,0.55,0.0,2214.8681,2296.649999999996
10,0.5,0.5,0.0,2150.7497,1889.274999999997
11,0.55,0.45,0.0,2086.0971,1877.5549999999969
12,0.6,0.4,0.0,2020.2866,1836.3699999999967
13,0.65,0.35,0.0,1952.5355,1790.149999999997
14,0.7,0.3,0.0,1881.799,1833.2749999999965
15,0.75,0.25,0.0,1806.5807,1825.8399999999965
16,0.8,0.2,0.0,1724.5465,1865.4899999999966
17,0.85,0.15,0.0,1631.6138999999998,1878.7099999999964
18,0.9,0.1,0.0,1519.2925,1788.0999999999967
19,0.95,0.05,0.0,1387.3481000000002,1633.009999999997
20,1.0,0.0,0.0,1405.0002,1161.2599999999982
21,0.0,0.95,0.05,2804.5097,2286.4199999999964
22,0.05,0.9,0.05,2744.1377,1875.2099999999964
23,0.1,0.85,0.05,2682.7484,1863.2799999999966
24,0.15,0.8,0.05,2619.4102000000003,1865.3299999999965
25,0.2,0.75,0.05,2554.3244,1850.1499999999965
26,0.25,0.7,0.05,2488.1979,1775.5099999999966
27,0.3,0.65,0.05,2421.6176,1719.909999999997
28,0.35,0.6,0.05,2354.8558000000003,1578.5999999999972
29,0.4,0.55,0.05,2287.9071,1557.689999999997
30,0.45,0.5,0.05,2220.5572,1545.199999999997
31,0.5,0.45,0.05,2152.4238,1540.519999999997
32,0.55,0.4,0.05,2082.9575,1510.0799999999972
33,0.65,0.3,0.05,1936.7143999999998,1433.0899999999974
34,0.7,0.25,0.05,1857.3514999999998,1405.6799999999973
35,0.75,0.2,0.05,1770.8999,1406.3749999999973
36,0.8,0.15,0.05,1673.1214,1301.8599999999976
37,0.9,0.05,0.05,1391.7685999999999,1305.9499999999978
38,0.95,0.0,0.05,1360.7993999999999,1286.2999999999977
39,0.0,0.9,0.1,2761.5045,2299.929999999996
40,0.05,0.85,0.1,2697.1349,1868.7499999999966
41,0.1,0.8,0.1,2635.6423,1854.8199999999965
42,0.15,0.75,0.1,2575.6566000000003,1861.8999999999965
43,0.2,0.7,0.1,2515.7387,1848.3199999999965
44,0.25,0.65,0.1,2454.6469,1762.3999999999965
45,0.3,0.6,0.1,2391.655,1594.5799999999972
46,0.35,0.55,0.1,2326.5896000000002,1553.1299999999972
47,0.4,0.5,0.1,2259.5393,1542.049999999997
48,0.45,0.45,0.1,2190.535,1537.0999999999972
49,0.5,0.4,0.1,2119.3751,1516.1499999999971
50,0.55,0.35,0.1,2045.5466000000001,1460.6599999999974
51,0.6,0.3,0.1,1968.1455,1437.8899999999974
52,0.65,0.25,0.1,1885.7073999999998,1410.5999999999974
53,0.7,0.2,0.1,1795.8204,1405.7899999999975
54,0.75,0.15,0.1,1694.1729,1293.2299999999977
55,0.8,0.1,0.1,1571.7350000000001,1249.3699999999978
56,0.85,0.05,0.1,1402.5097999999998,1295.2699999999977
57,0.9,0.0,0.1,1271.78409,1236.309999999998
58,0.0,0.85,0.15,2707.9643,2302.6399999999962
59,0.05,0.8,0.15,2637.1017,1862.5299999999966
60,0.1,0.75,0.15,2570.6134,1852.2899999999966
61,0.15,0.7,0.15,2507.6097,1858.7499999999966
62,0.2,0.65,0.15,2447.0801,1843.5099999999966
63,0.25,0.6,0.15,2387.8058,1641.319999999997
64,0.3,0.55,0.15,2328.3331000000003,1592.979999999997
65,0.35,0.5,0.15,2267.1137,1534.5999999999972
66,0.4,0.45,0.15,2202.8331,1529.029999999997
67,0.45,0.4,0.15,2134.6503,1505.819999999997
68,0.5,0.35,0.15,2062.0514,1504.3299999999972
69,0.55,0.3,0.15,1984.4299,1440.2899999999975
70,0.6,0.25,0.15,1900.6443,1410.6899999999973
71,0.65,0.2,0.15,1808.5126999999998,1405.1999999999973
72,0.7,0.15,0.15,1703.8228,1293.7099999999978
73,0.75,0.1,0.15,1577.4685,1246.789999999998
74,0.8,0.05,0.15,1402.9803000000002,1288.4499999999978
75,0.85,0.0,0.15,1231.89975,1181.239999999998
76,0.0,0.8,0.2,2633.5852,2326.109999999996
77,0.05,0.75,0.2,2557.2717000000002,1867.9399999999964
78,0.1,0.7,0.2,2486.0646,1847.0299999999966
79,0.15,0.65,0.2,2419.2675,1843.0899999999965
80,0.2,0.6,0.2,2356.1695,1684.3899999999967
81,0.25,0.55,0.2,2295.9625,1636.749999999997
82,0.3,0.5,0.2,2237.6217,1621.1699999999971
83,0.35,0.45,0.2,2179.7374,1529.999999999997
84,0.4,0.4,0.2,2120.3394,1506.469999999997
85,0.45,0.35,0.2,2056.901,1512.8299999999972
86,0.5,0.3,0.2,1986.7565,1441.3699999999974
87,0.55,0.25,0.2,1907.5985,1410.6899999999973
88,0.6,0.2,0.2,1817.1367,1408.5199999999975
89,0.65,0.15,0.2,1711.5511000000001,1294.9799999999977
90,0.75,0.05,0.2,1401.906,1288.9399999999978
91,0.8,0.0,0.2,1192.73757,1170.8499999999979
92,0.0,0.75,0.25,2514.5550000000003,2399.3499999999963
93,0.05,0.7,0.25,2435.4825,1866.4899999999966
94,0.1,0.65,0.25,2362.0134000000003,1838.0099999999966
95,0.15,0.6,0.25,2293.5223,1669.029999999997
96,0.2,0.55,0.25,2229.4307,1681.809999999997
97,0.25,0.5,0.25,2169.1533,1671.9199999999971
98,0.3,0.45,0.25,2112.0247,1622.3699999999972
99,0.35,0.4,0.25,2057.1779,1569.779999999997
100,0.4,0.35,0.25,2003.3141,1505.6699999999971
101,0.45,0.3,0.25,1948.2386000000001,1444.1299999999974
102,0.5,0.25,0.25,1888.0223999999998,1408.4199999999973
103,0.55,0.2,0.25,1816.085,1406.9299999999973
104,0.6,0.15,0.25,1723.4038999999998,1298.0799999999977
105,0.65,0.1,0.25,1598.3195999999998,1246.1899999999978
106,0.7,0.05,0.25,1413.5362,1290.2099999999978
107,0.75,0.0,0.25,1253.30323,1219.9599999999978
108,0.0,0.7,0.3,2310.4577,2342.299999999996
109,0.05,0.65,0.3,2186.5346,1854.2699999999966
110,0.1,0.6,0.3,2118.2558,1667.319999999997
111,0.15,0.55,0.3,2055.0808,1670.449999999997
112,0.2,0.5,0.3,1996.5639999999999,1680.229999999997
113,0.25,0.45,0.3,1942.2955000000002,1688.0799999999972
114,0.3,0.4,0.3,1891.8559,1659.8499999999967
115,0.4,0.3,0.3,1800.3772,1456.5299999999975
116,0.45,0.25,0.3,1757.7514,1406.2299999999973
117,0.5,0.2,0.3,1715.1263,1405.8199999999974
118,0.55,0.15,0.3,1668.1486,1311.5099999999977
119,0.65,0.05,0.3,1465.1082999999999,1297.0899999999976
120,0.7,0.0,0.3,1352.9317999999998,1301.5999999999976
121,0.0,0.65,0.35,2387.8735,2169.049999999996
122,0.05,0.6,0.35,2117.3727,1692.149999999997
123,0.1,0.55,0.35,1782.8035,1662.249999999997
124,0.15,0.5,0.35,1482.7008,1684.059999999997
125,0.2,0.45,0.35,1433.5193,1685.519999999997
126,0.25,0.4,0.35,1465.7042999999999,1676.499999999997
127,0.35,0.3,0.35,1491.9171000000001,1546.3499999999972
128,0.4,0.25,0.35,1489.5389,1416.0299999999975
129,0.45,0.2,0.35,1476.8802999999998,1397.0799999999974
130,0.5,0.15,0.35,1451.875,1312.1899999999978
131,0.65,0.0,0.35,1374.9969,1292.4549999999977
132,0.0,0.6,0.4,2041.2388,2012.4299999999964
133,0.05,0.55,0.4,1850.4385000000002,1681.419999999997
134,0.1,0.5,0.4,1663.8346999999999,1669.6299999999972
135,0.15,0.45,0.4,1532.8334,1668.3899999999971
136,0.2,0.4,0.4,1440.2060000000001,1665.899999999997
137,0.25,0.35,0.4,1424.1662999999999,1640.9299999999969
138,0.3,0.3,0.4,1410.4879999999998,1587.1699999999971
139,0.35,0.25,0.4,1432.5425999999998,1457.0499999999975
140,0.4,0.2,0.4,1439.3781,1435.4599999999973
141,0.45,0.15,0.4,1429.2714,1310.1499999999976
142,0.5,0.1,0.4,1396.9024,1255.8399999999979
143,0.55,0.05,0.4,1324.6118000000001,1311.6499999999976
144,0.6,0.0,0.4,1377.9207999999999,1414.2349999999974
145,0.0,0.55,0.45,1783.3881999999999,1756.649999999997
146,0.05,0.5,0.45,1650.2676999999999,1704.5299999999968
147,0.1,0.45,0.45,1591.5344999999998,1660.8899999999971
148,0.15,0.4,0.45,1527.7557000000002,1583.059999999997
149,0.2,0.35,0.45,1458.9724999999999,1537.184999999997
150,0.25,0.3,0.45,1413.7755000000002,1546.3899999999971
151,0.3,0.25,0.45,1396.3759,1443.5799999999974
152,0.35,0.2,0.45,1386.3175999999999,1425.3649999999973
153,0.4,0.15,0.45,1373.9162000000001,1298.3799999999976
154,0.45,0.1,0.45,1329.5158000000001,1260.9299999999976
155,0.5,0.05,0.45,1307.1983999999998,1315.8999999999976
156,0.55,0.0,0.45,1323.8608,1309.9899999999977
157,0.0,0.5,0.5,1813.3375999999998,1808.2699999999968
158,0.05,0.45,0.5,1715.8901999999998,1695.5999999999967
159,0.1,0.4,0.5,1616.1970000000001,1632.229999999997
160,0.15,0.35,0.5,1543.9487,1473.4599999999973
161,0.2,0.3,0.5,1479.5414999999998,1505.989999999997
162,0.25,0.25,0.5,1397.6061,1470.6349999999975
163,0.3,0.2,0.5,1406.9791999999998,1413.6849999999974
164,0.35,0.15,0.5,1410.9935999999998,1311.2599999999977
165,0.4,0.1,0.5,1388.4015,1231.8799999999978
166,0.45,0.05,0.5,1339.7116999999998,1264.9599999999978
167,0.5,0.0,0.5,1372.0641,1361.4749999999976
168,0.0,0.45,0.55,1789.5495,1777.3649999999968
169,0.05,0.4,0.55,1735.7158,1663.419999999997
170,0.1,0.35,0.55,1661.0254,1573.519999999997
171,0.15,0.3,0.55,1567.7321000000002,1512.854999999997
172,0.2,0.25,0.55,1457.5540999999998,1450.7899999999975
173,0.25,0.2,0.55,1339.6019000000001,1459.7799999999975
174,0.3,0.15,0.55,1372.7291,1325.3799999999976
175,0.4,0.05,0.55,1315.5058,1248.0199999999977
176,0.45,0.0,0.55,1329.9326999999998,1300.4199999999976
177,0.0,0.4,0.6,1729.6143000000002,1725.8599999999967
178,0.1,0.3,0.6,1661.6212,1558.319999999997
179,0.15,0.25,0.6,1564.2163999999998,1465.6499999999974
180,0.2,0.2,0.6,1432.5688,1450.8749999999973
181,0.25,0.15,0.6,1285.0951,1305.7499999999977
182,0.4,0.0,0.6,1216.89789,1203.179999999998
183,0.0,0.35,0.65,1820.1803,1815.4599999999969
184,0.05,0.3,0.65,1682.6653999999999,1611.029999999997
185,0.1,0.25,0.65,1627.9935,1491.5449999999971
186,0.15,0.2,0.65,1507.3427000000001,1435.4999999999973
187,0.2,0.15,0.65,1339.897,1312.6199999999976
188,0.25,0.1,0.65,1224.8796,1241.3549999999977
189,0.3,0.05,0.65,1100.72885,1169.079999999998
190,0.35,0.0,0.65,1140.29082,1138.2699999999982
191,0.0,0.3,0.7,1931.5969999999998,1900.8399999999965
192,0.05,0.25,0.7,1646.4380999999998,1631.0540002441378
193,0.1,0.2,0.7,1571.5155,1480.7799999999975
194,0.15,0.15,0.7,1401.8354,1326.2299999999977
195,0.25,0.05,0.7,1091.84188,1063.7699999999984
196,0.3,0.0,0.7,1126.43988,1123.6649999999981
197,0.0,0.25,0.75,2026.4849,1915.1899999999964
198,0.05,0.2,0.75,1733.1095999999998,1637.5790002441377
199,0.1,0.15,0.75,1499.52,1499.6599999999974
200,0.15,0.1,0.75,1309.7087000000001,1342.0099999999977
201,0.2,0.05,0.75,1173.289,1106.4299999999982
202,0.25,0.0,0.75,1107.51759,1101.5149999999983
203,0.0,0.2,0.8,2102.8373,1966.2999999999965
204,0.05,0.15,0.8,1787.2934999999998,1625.259999999997
205,0.1,0.1,0.8,1579.9602,1543.749999999997
206,0.15,0.05,0.8,1431.208,1480.6699999999973
207,0.2,0.0,0.8,1362.7853999999998,1381.1599999999974
208,0.0,0.15,0.85,2151.2867,1950.2049999999965
209,0.1,0.05,0.85,1652.0054999999998,1578.249999999997
210,0.15,0.0,0.85,1594.3292999999999,1591.019999999997
211,0.0,0.1,0.9,2167.8885999999998,1964.5349999999964
212,0.05,0.05,0.9,1813.1225,1718.4599999999969
213,0.1,0.0,0.9,1757.9946,1763.8799999999967
214,0.0,0.05,0.95,2129.42,1949.4599999999964
215,0.05,0.0,0.95,1834.1702999999998,1853.2599999999968
216,0.0,0.0,1.0,1995.9859000000001,1723.8299999999972
